      <row charisma="17" conspicuousness="0.75" item_id="42683028-2e61-4360-9f71-0ac198ca33a7" rpg_buff_weight="0" social_class_id="1" visibility="0.68" wealth_level="0" />
      <row charisma="1" conspicuousness="0.02" item_id="48326991-0b0a-ef6f-8a86-ec152e61afba" rpg_buff_weight="0" social_class_id="0" visibility="0.06" wealth_level="0" />
      <row charisma="1" conspicuousness="0.1" item_id="ab62a875-799d-4472-96a1-32b6e8feeaba" rpg_buff_weight="0" social_class_id="1" visibility="0.42" wealth_level="0" />
      <row charisma="18" conspicuousness="0.27" item_id="09d799a2-2253-4a46-89cc-142affcb1ede" rpg_buff_weight="0" social_class_id="3" visibility="0.3" wealth_level="0" />
      <row charisma="5" conspicuousness="0.16" item_id="465eafb6-c299-3eb9-908e-4fb6a65f38ad" rpg_buff_weight="0" social_class_id="3" visibility="0.38" wealth_level="0" />
      <row charisma="0" conspicuousness="0.2" item_id="433b9e8f-640a-25b0-ea6c-87c03f608baa" rpg_buff_weight="0" social_class_id="0" visibility="0.2" wealth_level="0" />
      <row charisma="0" conspicuousness="0.2" item_id="46bdb7af-8fb4-9eda-1c46-f135bb47ca82" rpg_buff_weight="0" social_class_id="0" visibility="0.2" wealth_level="0" />
      <row charisma="0" conspicuousness="0.2" item_id="49f7df26-ca65-1fdf-f7b7-afd6df894196" rpg_buff_weight="0" social_class_id="0" visibility="0.2" wealth_level="0" />
      <row charisma="0" conspicuousness="0.2" item_id="4b0a4413-cde5-2f32-f704-0554534b3cb3" rpg_buff_weight="0" social_class_id="0" visibility="0.2" wealth_level="0" />
      <row charisma="0" conspicuousness="0.2" item_id="4cbbd7c7-8c03-c549-5352-fd23979e0e96" rpg_buff_weight="0" social_class_id="0" visibility="0.2" wealth_level="0" />
      <row charisma="0" conspicuousness="0.2" item_id="4fc0012d-c8dd-cb42-28a6-f6acb6f64b83" rpg_buff_weight="0" social_class_id="0" visibility="0.2" wealth_level="0" />
      <row charisma="5" conspicuousness="0.62" item_id="46275cef-164c-33cd-1027-f3ffa7f55fb9" rpg_buff_weight="0" social_class_id="1" visibility="0.64" wealth_level="0" />
      <row charisma="5" conspicuousness="0.62" item_id="4a800ddc-6a8b-d6d1-4c40-000a2ce22a84" rpg_buff_weight="0" social_class_id="1" visibility="0.64" wealth_level="0" />
      <row charisma="1" conspicuousness="0" item_id="4a60e0bd-f724-25f1-65fd-305105e3d5bb" rpg_buff_weight="" social_class_id="0" visibility="0" wealth_level="0" />
      <row charisma="1" conspicuousness="0" item_id="4c3e093e-a0dc-f08c-c554-09376f909bb4" rpg_buff_weight="" social_class_id="33" visibility="0" wealth_level="0" />
      <row charisma="13" conspicuousness="-0.48" item_id="4dcb07a1-4530-9800-5e98-0bee669e5495" rpg_buff_weight="0" social_class_id="3" visibility="-0.48" wealth_level="0" />
      <row charisma="13" conspicuousness="0.24" item_id="4f3d01fd-44e0-8a52-8a6a-f1a0aadc3e8a" rpg_buff_weight="0" social_class_id="0" visibility="0.08" wealth_level="0" />
      <row charisma="13" conspicuousness="0.24" item_id="4ca31ae2-ea83-18b9-44a3-85f31d73398c" rpg_buff_weight="0" social_class_id="0" visibility="0.08" wealth_level="0" />
      <row charisma="8" conspicuousness="-0.03" item_id="4b8f2631-c21d-2468-6e5d-8607f13f28a8" rpg_buff_weight="0" social_class_id="0" visibility="0" wealth_level="0" />
      <row charisma="8" conspicuousness="-0.03" item_id="452d01d2-0555-36c0-4b81-2ca0e177e6b4" rpg_buff_weight="0" social_class_id="0" visibility="0" wealth_level="0" />
      <row charisma="13" conspicuousness="0.24" item_id="458f2f44-4e12-591a-1895-e1754df99b9b" rpg_buff_weight="0" social_class_id="0" visibility="0.08" wealth_level="0" />
